2024-04-20 22:50:31,568 INFO    StreamThr :1854159 [internal.py:wandb_internal():86] W&B internal server running at pid: 1854159, started at: 2024-04-20 22:50:31.566731
2024-04-20 22:50:31,575 DEBUG   HandlerThread:1854159 [handler.py:handle_request():146] handle_request: status
2024-04-20 22:50:31,575 INFO    WriterThread:1854159 [datastore.py:open_for_write():87] open: /scratch/vb2386/Documents/nerf-pytorch/wandb/run-20240420_225031-n7b7vnrg/run-n7b7vnrg.wandb
2024-04-20 22:50:31,587 DEBUG   SenderThread:1854159 [sender.py:send():379] send: header
2024-04-20 22:50:31,672 DEBUG   SenderThread:1854159 [sender.py:send():379] send: run
2024-04-20 22:50:31,876 DEBUG   HandlerThread:1854159 [handler.py:handle_request():146] handle_request: check_version
2024-04-20 22:50:31,879 INFO    SenderThread:1854159 [dir_watcher.py:__init__():211] watching files in: /scratch/vb2386/Documents/nerf-pytorch/wandb/run-20240420_225031-n7b7vnrg/files
2024-04-20 22:50:31,879 INFO    SenderThread:1854159 [sender.py:_start_run_threads():1124] run started: n7b7vnrg with start time 1713667831.57146
2024-04-20 22:50:31,879 DEBUG   SenderThread:1854159 [sender.py:send_request():406] send_request: check_version
2024-04-20 22:50:31,922 DEBUG   HandlerThread:1854159 [handler.py:handle_request():146] handle_request: run_start
2024-04-20 22:50:31,943 DEBUG   HandlerThread:1854159 [system_info.py:__init__():26] System info init
2024-04-20 22:50:31,943 DEBUG   HandlerThread:1854159 [system_info.py:__init__():41] System info init done
2024-04-20 22:50:31,943 INFO    HandlerThread:1854159 [system_monitor.py:start():194] Starting system monitor
2024-04-20 22:50:31,943 INFO    SystemMonitor:1854159 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-04-20 22:50:31,943 INFO    HandlerThread:1854159 [system_monitor.py:probe():214] Collecting system info
2024-04-20 22:50:31,946 INFO    SystemMonitor:1854159 [interfaces.py:start():190] Started cpu monitoring
2024-04-20 22:50:31,947 INFO    SystemMonitor:1854159 [interfaces.py:start():190] Started disk monitoring
2024-04-20 22:50:31,953 INFO    SystemMonitor:1854159 [interfaces.py:start():190] Started gpu monitoring
2024-04-20 22:50:31,954 INFO    SystemMonitor:1854159 [interfaces.py:start():190] Started memory monitoring
2024-04-20 22:50:31,955 INFO    SystemMonitor:1854159 [interfaces.py:start():190] Started network monitoring
2024-04-20 22:50:32,083 DEBUG   HandlerThread:1854159 [system_info.py:probe():150] Probing system
2024-04-20 22:50:32,091 DEBUG   HandlerThread:1854159 [system_info.py:_probe_git():135] Probing git
2024-04-20 22:50:32,112 DEBUG   HandlerThread:1854159 [system_info.py:_probe_git():143] Probing git done
2024-04-20 22:50:32,112 DEBUG   HandlerThread:1854159 [system_info.py:probe():198] Probing system done
